Outlet Name,Year Founded,Website,Zip Code,Location,State,Outlet Phone Number,Outlet Email,Primary Community Served,Community Served,Editorial Focus,Language,Primary Format,Format,Frequency,Primary Scope,Scope,X (formerly Twitter),Facebook,YouTube,Direct Verification
Bukharian Times,1996,http://www.bukhariantimes.org/,11375,"Forrest Hills, NY",New York,(718) 261-1595,2612315@gmail.com,Uzbek American,"Uzbek American,Central Asian American",Bukharian Jewish,"Russian,English",Newspaper,"Newspaper,Website",Weekly,Local,Local,,https://www.facebook.com/profile.php?id=100010121267303,https://www.youtube.com/@bukhariantimes7702,verified
Burdock,2019,https://burdockmedia.com/,11221,"New York, NY",New York,,info@burdockmedia.com,Asian American,Asian American,Arts and Culture,English,Magazine,"Magazine,Newsletter,Podcast,Website",Biannual,National,National,https://mobile.twitter.com/burdockmedia,,,
Bút Tre Magazine,2002,https://buttre.org/index.html,85248,"Chandler, AZ",Arizona,(480) 459-9530,ButTreMagazine@hotmail.com,Vietnamese American,Vietnamese American,,Vietnamese,Magazine,"Magazine,Digital Magazine,Website",Monthly,Local,Local,https://twitter.com/ButTreMagazine,https://www.facebook.com/buttremagazine/,,verified
Carolina Yonhap Korean News,1985,https://yonhapkoreannews.com/,28314,"Fayetteville, NC",North Carolina,(910) 868-4588,ypkoreannews@yahoo.co.kr,Korean American,Korean American,,Korean,Website,"Newsletter,Website",Monthly,Local,Local,,,,
Central Desi,2022,https://centraldesi.beehiiv.com/,,"Princeton, NJ",New Jersey,,reachcentraldesi@gmail.com,South Asian American,South Asian American,,English,Newsletter,"Newsletter,Website",Weekly,Local,Local,,,,verified
Chalaman New York,2013,https://chalamannewyork.com/,11435,"Jamaica, NY",New York,(646) 645-9830,chalamannewyork@gmail.com,Bangladeshi American,"Bangladeshi American,South Asian American",,Bangla,Newspaper,"Newspaper,Newsletter,Website",Monthly,Local,Local,https://twitter.com/Chalaman24N/,https://www.facebook.com/chalamannewyork/,https://www.youtube.com/@chalamannewyork8665,verified
Channel TT,2019,https://channeltt.tv/,10472,"Bronx, NY",New York,(646) 377-9179,cttnews20@gmail.com,Bangladeshi American,Bangladeshi American,,"Bangla,English",Television,"Television,Website",24/7,Local,"Local,National",https://twitter.com/channeltt_usa,https://www.facebook.com/Channeltttv/,https://www.youtube.com/@channelTTTV,verified
Character Media,1990,https://charactermedia.com/,90247,"Gardena, CA",California,(310) 769-4709,editorial@charactermedia.com,Asian American,"Asian American,Pacific Islander",,English,Website,Website,Daily,National,National,https://twitter.com/Character_Media,https://facebook.com/CharacterMediaCom/,https://www.youtube.com/@CharacterMedia,
Chicago Chinese News (aka Chicago Chinese Times),1991,https://chicagochinesetimes.com/,60540,"Naperville, IL",Illinois,(630) 717-4567,ccn100@chicagochinesenews.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,"Cantonese,Mandarin",Website,Website,Weekly,Local,Local,https://twitter.com/ChicagoChineseN,https://www.facebook.com/ChicagoChineseNews/,https://www.youtube.com/@chicagochinesenews2602,
Chicago in Arabic,2015,https://chicagoinarabic.com/,,"Chicago, IL",Illinois,(312) 709-9479,business@chicagoinarabic.com,Arab American,"Syrian American,Arab American",,"Arabic,English",Website,"Newsletter,Podcast,Website",Weekly,Local,Local,https://twitter.com/ChicagoInArabic,https://www.facebook.com/ChicagoinArabic/,https://www.youtube.com/@Chicagoinarabic,
Chicago Shimpo,1945,https://chicagoshimpo.com/,60625,"Chicago, IL",Illinois,(773) 478-6170,shimpo@mc.net,Japanese American,Japanese American,,"Japanese,English",Website,Website,Weekly,Local,Local,https://twitter.com/chicagoshimpo,https://facebook.com/ChicagoShimpo,,
Chicago Viet Bao,2000,,60625,"Chicago, IL",Illinois,(773) 275-5462,chicagovietbao@gmail.com,Vietnamese American,Vietnamese American,,Vietnamese,Magazine,"Magazine,Digital Magazine",Bimonthly,Local,Local,,https://facebook.com/ChicagoVietBao/,,verified
Chikin Melele,2015,https://chikinmelele.com/,,"Springdale, AR",Arkansas,(479) 420-2260,chikinmelelenews@gmail.com,Marshallese,Marshallese,,"Marshallese,English",Newspaper,"Newspaper,Digital Newspaper,Website",Monthly,Local,"Local,Diasporic",,https://facebook.com/ChikinMelele2.0/,,
Chikka Magazine,2008,https://www.chikkamagazine.com/,85201,"Mesa, AZ",Arizona,(480) 788-4719,Contribute@ChikkaMagazine.com,Filipino American,"Filipino American,Asian American",,English,Magazine,"Magazine,Digital Magazine,Website",Monthly,Local,Local,https://x.com/chikkamagazine/,https://www.facebook.com/chikkamagazine/,https://www.youtube.com/@chikka-tv,
Chime TV,2023,https://chimetv.co/,,"Los Angeles, CA",California,,info@chimetv.co,AAPI,"Asian American,Pacific Islander",,English,Television,"Television,Website",24/7,National,National,,https://www.facebook.com/WatchChimeTV,https://www.youtube.com/@ChimeTV_,
China Daily: Los Angeles,1981,https://www.chinadaily.com.cn/,90071,"Los Angeles, CA",California,(213) 232-0130,readers@chinadailyusa.com,Chinese-Speaking,Chinese American,,"Chinese (Simplified),English,French",Newspaper,"Newspaper,Website",Daily,Local,"Local,National",https://twitter.com/ChinaDailyUSA,https://www.facebook.com/chinadaily,,
China Daily: New York,1981,https://www.chinadaily.com.cn/,10036,"New York, NY",New York,(212) 537-8888,readers@chinadailyusa.com,Chinese-Speaking,Chinese American,,"Chinese (Simplified),English,French",Newspaper,"Newspaper,Website",Daily,Local,"Local,National",https://twitter.com/ChinaDailyUSA,https://www.facebook.com/chinadaily,,
China Daily: San Francisco,1981,https://www.chinadaily.com.cn/,94105,"San Francisco, CA",California,(415) 348-8288,readers@chinadailyusa.com,Chinese-Speaking,Chinese American,,"Chinese (Simplified),English,French",Newspaper,"Newspaper,Website",Daily,Local,"Local,National",https://twitter.com/ChinaDailyUSA,https://www.facebook.com/chinadaily,,
China Daily: Seattle,1981,https://www.chinadaily.com.cn/,98101,"Seattle, WA",Washington,(206) 357-8514,readers@chinadailyusa.com,Chinese-Speaking,Chinese American,,"Chinese (Simplified),English,French",Newspaper,"Newspaper,Website",Daily,Local,"Local,National",https://twitter.com/ChinaDailyUSA,https://www.facebook.com/chinadaily,,
"China Daily: Washington, D.C",1981,https://www.chinadaily.com.cn/,20045,"Washington, D.C.","Washington, D.C.",(202) 662-7249,readers@chinadailyusa.com,Chinese-Speaking,Chinese American,,"Chinese (Simplified),English,French",Newspaper,"Newspaper,Website",Daily,Local,"Local,National",https://twitter.com/ChinaDailyUSA,https://www.facebook.com/chinadaily,,
China Insight,2001,https://chinainsight.info,55343,"Hopkins, MN",Minnesota,(612) 723-4872,info@chinainsight.info,Chinese American,Chinese American,U.S.-China Relations ,English,Website,"Digital Newspaper,Website",Weekly,Local,"Local,National",,,,
China Journal,2021,https://chinajournal.news/,60616,"Chicago, IL",Illinois,(312) 326-3228,chinajournal@sbcglobal.net,Chinese-Speaking,"Chinese American,Chinese Diaspora",,Chinese (Simplified),Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Local,Local,,https://facebook.com/chinajournalchicago/,,
China News Digest,1989,https://cnd.org/,20898,"Gaithersberg, MD",Maryland,,webmaster@cnd.org,Chinese-Speaking,"Chinese American,Chinese Diaspora","Students, Literary",Chinese (Simplified),Website,"Newsletter,Digital Magazine,Website",Weekly,National,National,,,,
China Star News,2007,https://www.chinastarnews.com/,60605,"Chicago, IL",Illinois,(312) 869-9388,editor@chinastarnews.com,Chinese-Speaking,"Chinese American,Chinese Diaspora",,Chinese (Simplified),Website,"Television,Website",Monthly,Local,"Local,National",https://twitter.com/Chinastarnew,https://www.facebook.com/profile.php?id=100063778045554&locale=uk_UA,https://www.youtube.com/@televisionchinastar2291,
Chinese American News,1987,http://www.canews.com/index.html,60616,"Chicago, IL",Illinois,(312) 225-3929,editor@canews.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,Chinese (Traditional),Newspaper,"Newspaper,Website",Weekly,Local,Local,,,,
Chinese American Post,1994,https://www.chineseamericanpost.com/,,"Englewood, CO",Colorado,(303) 934-1773,chineseamericanpost@gmail.com,Chinese-Speaking,"Chinese American,Chinese Diaspora",,Chinese (Simplified),Newspaper,"Newspaper,Newsletter,Website",Weekly,Local,"Local,Diasporic",,,,verified
Chinese Daily News (aka Chinese LA Daily News),1991,https://chinesedaily.com/,91731,"El Monte, CA",California,(626) 453-8800,info@chinesedaily.com,Taiwanese American,"Chinese American,Taiwanese American,Chinese Diaspora",,Chinese (Traditional),Website,Website,Daily,Local,Local,,https://www.facebook.com/profile.php?id=100063511695752,,
Chinese in LA,2016,https://chineseinla.com/,,"Walnut, CA",California,(626) 657-6046,support@chineseinla.com,Chinese-Speaking,"Chinese American,Chinese Diaspora",,Chinese (Simplified),Website,Website,Daily,Local,Local,,https://www.facebook.com/ChineseInLA/,,
Chinese News Weekly,1995,https://new-new.com/,08817,"Edison, NJ",New Jersey,(732) 650-7466,cnewsweekly@yahoo.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,Chinese (Traditional),Newspaper,"Newspaper,Website",Weekly,Local,Local,,https://www.facebook.com/ChineseNewsWeekly/,,
Chinese Radio Network on 1240 AM and 105.9 FM,1987,https://chineseradionetwork.online/,11355,"Elmhurst, NY",New York,(718) 661-3933,crn@chineseradionetwork.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,Mandarin,Radio,"Radio,Website",24/7,Local,"Local,National,Diasporic",,https://www.facebook.com/chineseradionetwork/,https://www.youtube.com/@chineseradionetwork-17,
Chinese Radio Seattle on KKNW 1150 AM and 98.9 FM,2012,https://chineseradioseattle.com,98006,"Bellevue, WA",Washington,(206) 619-8698,crsradio@gmail.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,"Cantonese,Mandarin,Chinese (Simplified),Chinese (Traditional),English",Radio,"Radio,Website",Daily,Local,Local,https://twitter.com/ChineseRadioSea,https://www.facebook.com/ChineseRadioSeattle/,https://www.youtube.com/@ChineseRadioSeattle,verified
Chinese Radio Station WZRC 1480 AM,2001,https://nysino.com/am1480/,10005,"New York, NY",New York,(212) 965-1480,brandonw@mrbi.net,Chinese-Speaking,"Chinese American,Chinese Diaspora",,Cantonese,Radio,"Radio,Television,Website",24/7,Local,"Local,National",https://twitter.com/am1480wzrc?lang=en,https://www.facebook.com/NYAM1480/,https://www.youtube.com/user/WZRCAM1480,
Chinese Times,2004,http://www.chinesetimes.info/,77459,"Houston, TX",Texas,(713) 776-0678,editor@chinesetimes.us,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,"Chinese (Simplified),Chinese (Traditional)",Newspaper,"Newspaper,Digital Newspaper,Newsletter,Website",Monthly,Local,Local,,,,
Chosun Daily LA,2019,https://chosundaily.com/,90010,"Los Angeles, CA",California,(213) 459-6800,,Korean American,Korean American,,Korean,Newspaper,"Newspaper,Digital Newspaper,Newsletter,Website",Weekly,Local,Local,,,,
Cold Tea Collective,2017,https://coldteacollective.com/,V5Y 1N3,"Vancouver, British Columbia, Canada",International,,info@coldteacollective.com,Asian American,Asian American,North American (US and Canada),English,Website,"Website,Newsletter,Podcast",Monthly,Diasporic,Diasporic,,,,verified
Colorado Chinese News,1994,https://ccnews.us/,80223,"Denver, CO",Colorado,(303) 722-8268,cochnews@gmail.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,Chinese (Traditional),Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Local,Local,https://twitter.com/cochnews,https://www.facebook.com/kzhbus/,https://www.youtube.com/@editorcoloradochinesenewsl5343,
Colorado Times,2000,https://coloradotimesnews.com/,80014,"Aurora, CO",Colorado,(303) 588-4718,coloradotimes@gmail.com,Korean American,Korean American,,Korean,Newspaper,"Newspaper,Digital Newspaper,Newsletter,Website",Weekly,Local,Local,https://twitter.com/colorado_times,https://facebook.com/coloradotimes,https://www.youtube.com/@coloradotimes9689,
Crossings TV,2005,https://crossingstv.com,95814,"Sacramento, CA",California,(888) 901-5288,info@crossingstv.com,Asian American,"Chinese American,Filipino American,Hmong American,Indian American,Japanese American,Korean American,Vietnamese American,Asian American",,"Cantonese,Hmong,Hindi,Japanese,Korean,Mandarin,Punjabi,Tagalog,Vietnamese",Television,"Television,Website",Daily,Local,"Local,National",https://twitter.com/crossingstv,https://www.facebook.com/crossingstv/,https://www.youtube.com/@CrossingsTelevision,
Cultural News,1998,https://culturalnews.com/,90020,"Los Angeles, CA",California,(213) 819-4100,editor@culturalnews.com,Japanese American,Japanese American,Culture and Tourism,"Japanese,English",Digital Magazine,"Digital Magazine,Newsletter,Website",Weekly,Local,Local,https://twitter.com/culturalnews?lang=en,https://www.facebook.com/CulturalNewsPaper/,,
Da Màu Magazine,2006,https://damau.org/en,92704,"Santa Ana, CA",California,,damau.org@gmail.com,Vietnamese American,Vietnamese American,Literary,"Vietnamese,English",Website,"Digital Magazine,Website",Daily,Diasporic,"National,Diasporic","https://x.com/LuuDieuVan
",https://www.facebook.com/tapchidamau/,,
Daily Sun New York,2003,https://dailysunny.com/,10020,"New York, NY",New York,(646) 327-6443,info@dailysunny.com,Japanese American,Japanese American,,Japanese,Digital Magazine,"Digital Magazine,Newsletter,Website",Weekly,Local,Local,https://twitter.com/dailysunnewyork,https://facebook.com/dailysunny,,verified
Dallas Chinese Daily,1982,https://dallaschinesedaily.com/,75013,"Dallas, TX",Texas,(972) 907-1919,chinese9071919@gmail.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,"Chinese (Simplified),Chinese (Traditional)",Newspaper,"Newspaper,Newsletter,Website",Daily,Local,Local,,https://www.facebook.com/profile.php?id=100076247351271,,
Dallas Chinese News,1981,https://dallaschinesenews.com/,75081,"Richardson, TX",Texas,(972) 680-9578,DallasChineseNews@gmail.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,Chinese (Traditional),Newspaper,"Newspaper,Website",Weekly,Local,Local,,,,verified
Dân Quyền Newspaper,1997,https://danquyen.com/,73106,"Oklahoma City, OK",Oklahoma,(450) 740-8939,danquyennews@aol.com,Vietnamese American,Vietnamese American,,Vietnamese,Website,Website,Daily,Local,"Local,National",,https://www.facebook.com/pages/Dan%20Quyen%20Newspaper/122379337819169/about/?ref=page_internal,,
Densho: The Japanese American Legacy Project,1996,https://densho.org/,98144,"Seattle, WA",Washington, (206) 320-0095,info@densho.org,Japanese American,"Japanese American,Asian American",Archive and History,English,Website,"Digital Magazine,Podcast,Newsletter,Reports,Website",Weekly,National,National,https://twitter.com/DenshoProject,https://www.facebook.com/denshoproject,https://www.youtube.com/@DenshoProject,
Desh,2021,https://deshus.com/,11372,"Jackson Heights, NY",New York,(718) 899-0202,weeklydesh2021@gmail.com,Bangladeshi American,"Bangladeshi American,Indian American,South Asian American",,Bangla,Newspaper,"Newspaper,Website",Weekly,Local,Local,,,,verified
Desh Videsh,1993,https://deshvidesh.com/,33321,"Tamarac, FL",Florida,(954) 784-8100,info@deshvidesh.com,Indian American,"Indian American,South Asian American,Indo-Caribbean American",,English,Magazine,"Magazine,Digital Magazine,Website",Monthly,National,National,https://twitter.com/DeshVideshMedia,https://www.facebook.com/deshvideshmedia,https://www.youtube.com/@deshvideshlive,
Desi Talk in Chicago,1997,http://epaper.desitalkchicago.com/archives/,60659,"Chicago, IL",Illinois,(773) 856-0545,editorial@desitalkchicago.com,Indian American,Indian American,,English,Newspaper,"Newspaper,Digital Newspaper,Television",Weekly,Local,Local,,https://www.facebook.com/desitalkchicago/,https://www.youtube.com/@desitalktv5237,verified
Desi Talk in New York,1997,http://epaper.desitalk.com/,08820,"Edison, NJ",New Jersey,(212) 675-7515,editor@newsindia-times.com,Indian American,Indian American,,English,Newspaper,"Newspaper,Digital Newspaper,Television",Weekly,Local,Local,https://twitter.com/DesitalkNy,https://www.facebook.com/desitalk/,https://www.youtube.com/@desitalktv5237,verified
Ding Ding TV,2009,https://dingdingtv.com/,95054,"Santa Clara, CA",California,(408) 396-2601,Diana@dingdingtv.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,"Cantonese,Mandarin,English",Television,"Television,Website",Weekly,Local,Local,,https://facebook.com/DingDingTV/,https://youtube.com/@DianaDing-DingDingTV,verified
